D,1049.0,100.0,1149.0
W,1149.0,50.0,1099.0
W,1099.0,50.0,1049.0
W,1049.0,100.0,949.0
W,949.0,100.0,849.0
W,849.0,100.0,749.0
D,749.0,229.99999999999997,979.0
W,979.0,100.0,879.0
D,879.0,199.0,1078.0
W,1078.0,100.0,978.0
W,978.0,100.0,878.0
D,878.0,199.0,1077.0
W,1077.0,100.0,977.0
W,977.0,100.0,877.0
D,877.0,199.0,1076.0
W,1076.0,100.0,976.0
D,976.0,229.99999999999997,1206.0
W,1206.0,100.6,1105.4
D,1105.4,187.11599999999999,1292.516
W,1292.516,1292.516,0.0
D,0.0,1000.0,1000.0
W,1000.0,12.59,987.41
D,988.0,25.0541,1013.0541
W,1013.0,1.59,1011.41
D,1011.41,2.6712000000000002,1014.0812
W,1014.0799999999999,1.11,1012.9699999999999
W,1012.9699999999999,1.11,1011.8599999999999
W,1011.8599999999999,1.11,1010.7499999999999
D,1010.7499999999999,2.2089000000000003,1012.9588999999999
D,1012.9599999999999,1012.96,2025.92
W,2025.92,2025.92,0.0
D,0.0,100.0,100.0
W,100.0,15.69,84.31
D,84.31,50.6787,134.9887
W,134.99,15.69,119.30000000000001
W,119.30000000000001,15.69,103.61000000000001
W,103.61000000000001,15.69,87.92000000000002
W,87.92000000000002,15.69,72.23000000000002
W,72.23000000000002,15.69,56.54000000000002
D,56.54000000000002,21.4953,78.03530000000002
W,78.04000000000002,15.69,62.35000000000002
W,62.35000000000002,15.69,46.660000000000025
D,46.660000000000025,31.2231,77.88310000000003
W,77.88000000000002,15.69,62.190000000000026
W,62.190000000000026,15.69,46.50000000000003
W,46.50000000000003,15.69,30.81000000000003
W,30.81000000000003,15.69,15.120000000000031
W,15.120000000000031,15.12,3.197442310920451E-14
D,3.197442310920451E-14,100.0,100.00000000000003
W,100.00000000000003,100.0,2.8421709430404007E-14
D,2.8421709430404007E-14,100.0,100.00000000000003
W,100.00000000000003,100.0,2.8421709430404007E-14
D,2.8421709430404007E-14,3000.0,3000.0
D,3000.0,227.25,3227.25
W,3227.25,25.0,3202.25
D,3202.25,42.00000000000001,3244.25
D,3244.25,4545.0,7789.25
W,7789.25,1000.0,6789.25
